Message,Status Code,Cluster
"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down 172.20.110.61",down,3
IS-DXB-HO-ESW04.intertecsys.com - GigabitEthernet1/0/22 · *** AI Thermal detector Reception - 172.20.133.11 *** Down 10.10.200.5,down,3
Interface port9(primary) · port9 for node TCS-GM-SW6 is Down. Customer Name: Choithrams Node Role: GM/Novelity 10.10.101.246,down,3
TCS-GM-SW6 - port9(primary) · port9 Down 10.10.101.246,down,3
IS-DXB-HO-ESW04.intertecsys.com - GigabitEthernet1/0/22 · *** AI Thermal detector Reception - 172.20.133.11 *** Down 10.10.200.5 Action ISNOC-Critical CPU Utilization Execute program : SolarWinds.APM.RealTimeProcessPoller.exe -n=${NodeID} -alert=${N=Alerting;M=AlertDefID} - alertId=${N=Alerting;M=AlertID} was not approved by administrator,down,3
"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down 172.20.110.61",down,3
IS-DXB-HO-ESW04.intertecsys.com - GigabitEthernet1/0/22 · *** AI Thermal detector Reception - 172.20.133.11 *** Down 10.10.200.5,down,3
Interface port9(primary) · port9 for node TCS-GM-SW6 is Down. Customer Name: Choithrams Node Role: GM/Novelity 10.10.101.246,down,3
TCS-GM-SW6 - port9(primary) · port9 Down 10.10.101.246,down,3
Node Greens-60F is Down. Customer Name: Choithrams Server Role: Greens Store Firewall Server Location: UAE - Retail Stores 10.168.110.100,down,3
"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down 172.20.110.61",down,3
IS-DXB-HO-ESW04.intertecsys.com - GigabitEthernet1/0/22 · *** AI Thermal detector Reception - 172.20.133.11 *** Down 10.10.200.5,down,3
"Application ""Microsoft System Center Configuration Manager Related Services"" on node ""ISDBPRCCM01"" is down ADD WIDGETS 172.20.110.61 DONE EDITING NOC_TEST",down,3
